feature,element_id,element_name,mdi_importance,permutation_importance,permutation_metric,corr_with_pred_zero_proba,direction_sign,direction_label
4.A.4.a.8,4.A.4.a.8,Performing for or Working Directly with the Public,0.004400778596418028,0.0,f1,-0.027380108004593805,-1,less_likely_zero (more teleworkable)
4.A.4.b.2,4.A.4.b.2,Developing and Building Teams,0.004374989702680745,0.0,f1,-0.1973211325388483,-1,less_likely_zero (more teleworkable)
2.B.4.h,2.B.4.h,Systems Evaluation,0.004339450436362402,0.0,f1,-0.5672527461222026,-1,less_likely_zero (more teleworkable)
2.B.3.e,2.B.3.e,Programming,0.004283223456818644,0.0,f1,-0.45049471821054965,-1,less_likely_zero (more teleworkable)
2.B.4.e,2.B.4.e,Judgment and Decision Making,0.004237582379654218,0.0,f1,-0.5536923420580043,-1,less_likely_zero (more teleworkable)
4.A.4.a.6,4.A.4.a.6,Selling or Influencing Others,0.004225656329736628,0.0,f1,-0.17294281571722075,-1,less_likely_zero (more teleworkable)
2.B.3.a,2.B.3.a,Operations Analysis,0.004102572412952437,0.0,f1,-0.4518706318839197,-1,less_likely_zero (more teleworkable)
4.A.2.b.5,4.A.2.b.5,Scheduling Work and Activities,0.004024295189806116,0.0,f1,-0.36224198718758355,-1,less_likely_zero (more teleworkable)
1.A.1.b.6,1.A.1.b.6,Information Ordering,0.003760205958908033,0.0,f1,-0.4118409676272195,-1,less_likely_zero (more teleworkable)
4.A.2.b.1,4.A.2.b.1,Making Decisions and Solving Problems,0.003700862214867328,0.0,f1,-0.3387238776177978,-1,less_likely_zero (more teleworkable)
4.A.4.b.1,4.A.4.b.1,Coordinating the Work and Activities of Others,0.0035379648873855307,0.0,f1,-0.14143187671801735,-1,less_likely_zero (more teleworkable)
1.A.1.b.2,1.A.1.b.2,Originality,0.003525064023709071,0.0,f1,-0.565843052416371,-1,less_likely_zero (more teleworkable)
4.A.3.b.6,4.A.3.b.6,Documenting/Recording Information,0.003490272122837463,0.0,f1,-0.31549368110186465,-1,less_likely_zero (more teleworkable)
4.A.4.b.5,4.A.4.b.5,Coaching and Developing Others,0.0034152680917823664,0.0,f1,-0.16663205349001128,-1,less_likely_zero (more teleworkable)
4.A.2.b.4,4.A.2.b.4,Developing Objectives and Strategies,0.0033736687003421716,0.0,f1,-0.44221092812862983,-1,less_likely_zero (more teleworkable)
4.A.1.b.1,4.A.1.b.1,"Identifying Objects, Actions, and Events",0.0033520719667481523,0.002593659942363158,f1,-0.0030562508995705382,-1,less_likely_zero (more teleworkable)
4.A.2.a.1,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People",0.0032656752985692674,0.0,f1,-0.05454587799772708,-1,less_likely_zero (more teleworkable)
4.A.4.b.3,4.A.4.b.3,Training and Teaching Others,0.0031684190621337383,0.0,f1,-0.10404227137015423,-1,less_likely_zero (more teleworkable)
2.B.5.d,2.B.5.d,Management of Personnel Resources,0.0031199635880581255,0.0,f1,-0.4051282857163255,-1,less_likely_zero (more teleworkable)
2.B.1.f,2.B.1.f,Service Orientation,0.0031088570364377482,0.0,f1,-0.335959166432875,-1,less_likely_zero (more teleworkable)
2.A.2.b,2.A.2.b,Active Learning,0.0030553728924353264,0.0,f1,-0.5832123557845005,-1,less_likely_zero (more teleworkable)
4.A.4.b.6,4.A.4.b.6,Providing Consultation and Advice to Others,0.0029968588259385964,0.0,f1,-0.39528810471579007,-1,less_likely_zero (more teleworkable)
1.A.1.f.1,1.A.1.f.1,Spatial Orientation,0.0029723546328196486,0.0,f1,0.5283888085544957,1,more_likely_zero (less teleworkable)
4.A.1.b.3,4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information",0.0028683561964803817,0.0,f1,0.12351448609351527,1,more_likely_zero (less teleworkable)
2.A.2.a,2.A.2.a,Critical Thinking,0.0028013675852524857,0.0,f1,-0.6000174777047473,-1,less_likely_zero (more teleworkable)
1.A.1.b.4,1.A.1.b.4,Deductive Reasoning,0.0027811483411925735,0.0,f1,-0.5638560896466108,-1,less_likely_zero (more teleworkable)
2.B.2.i,2.B.2.i,Complex Problem Solving,0.002774813455814479,0.0,f1,-0.5874223440371356,-1,less_likely_zero (more teleworkable)
4.A.1.b.2,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials",0.002697670230354517,0.0,f1,0.6652225280509508,1,more_likely_zero (less teleworkable)
4.A.3.b.2,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",0.0025530151489043767,0.0,f1,0.26271590717928334,1,more_likely_zero (less teleworkable)
2.B.1.b,2.B.1.b,Coordination,0.0025149271659606286,0.0,f1,-0.33814281974675237,-1,less_likely_zero (more teleworkable)
4.A.4.c.3,4.A.4.c.3,Monitoring and Controlling Resources,0.0023943629148195436,0.0,f1,-0.07587059149143292,-1,less_likely_zero (more teleworkable)
4.A.4.a.2,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates",0.0023630343367992508,0.0,f1,-0.4559204761168443,-1,less_likely_zero (more teleworkable)
2.A.2.c,2.A.2.c,Learning Strategies,0.002352062668383818,0.0,f1,-0.4896468243443548,-1,less_likely_zero (more teleworkable)
2.A.1.d,2.A.1.d,Speaking,0.0023503254873988642,0.0,f1,-0.6848023214636942,-1,less_likely_zero (more teleworkable)
4.A.4.c.1,4.A.4.c.1,Performing Administrative Activities,0.002342670521806019,0.0,f1,-0.4998469704226208,-1,less_likely_zero (more teleworkable)
1.A.1.d.1,1.A.1.d.1,Memorization,0.002232692991377085,0.0,f1,-0.4024220148918583,-1,less_likely_zero (more teleworkable)
4.A.2.a.2,4.A.2.a.2,Processing Information,0.002223704746643931,0.0,f1,-0.4946964395095364,-1,less_likely_zero (more teleworkable)
4.A.1.a.2,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings",0.0022203164020694285,0.002578796561604579,f1,0.28762431449600356,1,more_likely_zero (less teleworkable)
1.A.4.a.6,1.A.4.a.6,Depth Perception,0.002216016190422187,0.0,f1,0.6536863664142984,1,more_likely_zero (less teleworkable)
2.B.5.a,2.B.5.a,Time Management,0.0021065984910405185,0.0,f1,-0.48672506677878896,-1,less_likely_zero (more teleworkable)
4.A.4.a.4,4.A.4.a.4,Establishing and Maintaining Interpersonal Relationships,0.00205219092125654,0.0,f1,-0.48475206044127656,-1,less_likely_zero (more teleworkable)
1.A.4.a.3,1.A.4.a.3,Visual Color Discrimination,0.0020390680955032024,0.0,f1,0.47601640862435785,1,more_likely_zero (less teleworkable)
2.A.1.f,2.A.1.f,Science,0.00201720688794824,0.0,f1,-0.18833740355986262,-1,less_likely_zero (more teleworkable)
2.B.1.c,2.B.1.c,Persuasion,0.001978098343175716,0.0,f1,-0.5320851156817955,-1,less_likely_zero (more teleworkable)
4.A.2.a.3,4.A.2.a.3,Evaluating Information to Determine Compliance with Standards,0.001971431949211023,0.0,f1,-0.16973682283502825,-1,less_likely_zero (more teleworkable)
1.A.1.c.2,1.A.1.c.2,Number Facility,0.001960450504821051,0.0,f1,-0.4084073101302216,-1,less_likely_zero (more teleworkable)
4.A.4.b.4,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates",0.0019507762566670966,0.0,f1,-0.1448115824333201,-1,less_likely_zero (more teleworkable)
4.A.4.a.1,4.A.4.a.1,Interpreting the Meaning of Information for Others,0.0018559603356568843,0.0,f1,-0.5061366434566823,-1,less_likely_zero (more teleworkable)
4.A.4.c.2,4.A.4.c.2,Staffing Organizational Units,0.0018474298388474533,0.0,f1,-0.173355729464686,-1,less_likely_zero (more teleworkable)
2.B.4.g,2.B.4.g,Systems Analysis,0.0017748540182968913,0.0,f1,-0.5791538989747773,-1,less_likely_zero (more teleworkable)
1.A.4.b.1,1.A.4.b.1,Hearing Sensitivity,0.0017629256616807532,0.0,f1,0.4986450196642103,1,more_likely_zero (less teleworkable)
4.A.3.a.4,4.A.3.a.4,"Operating Vehicles, Mechanized Devices, or Equipment",0.001760490461530853,0.0,f1,0.5604797297472863,1,more_likely_zero (less teleworkable)
1.A.1.e.3,1.A.1.e.3,Perceptual Speed,0.0017553217316294229,0.0,f1,0.210731163281439,1,more_likely_zero (less teleworkable)
1.A.4.b.2,1.A.4.b.2,Auditory Attention,0.0016419691709231273,0.0,f1,0.5296466615892556,1,more_likely_zero (less teleworkable)
1.A.1.g.1,1.A.1.g.1,Selective Attention,0.001636175999335785,0.0,f1,0.1204931866820431,1,more_likely_zero (less teleworkable)
2.B.3.c,2.B.3.c,Equipment Selection,0.0015999029068557498,0.0,f1,0.5482098392312791,1,more_likely_zero (less teleworkable)
4.A.4.a.7,4.A.4.a.7,Resolving Conflicts and Negotiating with Others,0.0015242415047433664,0.0,f1,-0.23163779143509647,-1,less_likely_zero (more teleworkable)
2.A.1.b,2.A.1.b,Active Listening,0.0014752075796141556,0.0,f1,-0.6627073750495969,-1,less_likely_zero (more teleworkable)
2.B.5.c,2.B.5.c,Management of Material Resources,0.0013888694312995777,0.0,f1,-0.17461440785544802,-1,less_likely_zero (more teleworkable)
1.A.4.a.2,1.A.4.a.2,Far Vision,0.0013805424840541477,0.0,f1,0.24593498437850775,1,more_likely_zero (less teleworkable)
1.A.1.a.3,1.A.1.a.3,Oral Expression,0.001191215648601089,0.0,f1,-0.6526645823852508,-1,less_likely_zero (more teleworkable)
1.A.2.c.2,1.A.2.c.2,Wrist-Finger Speed,0.0011824379781686172,0.0,f1,0.45406771791516554,1,more_likely_zero (less teleworkable)
2.B.3.k,2.B.3.k,Troubleshooting,0.0010893404582972858,0.0,f1,0.5972060642828484,1,more_likely_zero (less teleworkable)
2.B.3.j,2.B.3.j,Equipment Maintenance,0.0010883777112781724,0.0,f1,0.569188357052259,1,more_likely_zero (less teleworkable)
2.B.5.b,2.B.5.b,Management of Financial Resources,0.0010628887418805736,0.0,f1,-0.35695964911671246,-1,less_likely_zero (more teleworkable)
2.B.3.h,2.B.3.h,Operation and Control,0.000985544967233114,0.0,f1,0.6610282469750928,1,more_likely_zero (less teleworkable)
2.B.1.e,2.B.1.e,Instructing,0.0009677964416699204,0.0,f1,-0.43758414398037265,-1,less_likely_zero (more teleworkable)
1.A.1.f.2,1.A.1.f.2,Visualization,0.000955786257145895,0.0,f1,0.2977657760612257,1,more_likely_zero (less teleworkable)
1.A.1.b.3,1.A.1.b.3,Problem Sensitivity,0.0009502641614164092,0.0,f1,-0.25450034212855843,-1,less_likely_zero (more teleworkable)
1.A.4.b.5,1.A.4.b.5,Speech Clarity,0.0008723997442078288,0.0,f1,-0.6341637764095904,-1,less_likely_zero (more teleworkable)
1.A.4.b.4,1.A.4.b.4,Speech Recognition,0.0008531013644845837,0.0,f1,-0.6025630655764016,-1,less_likely_zero (more teleworkable)
1.A.1.b.7,1.A.1.b.7,Category Flexibility,0.0008432375435775983,0.0,f1,-0.46932928995319195,-1,less_likely_zero (more teleworkable)
1.A.1.a.1,1.A.1.a.1,Oral Comprehension,0.0008318712697467932,0.0,f1,-0.6393934816553088,-1,less_likely_zero (more teleworkable)
1.A.1.c.1,1.A.1.c.1,Mathematical Reasoning,0.0008309750996894641,0.0,f1,-0.4682187862908264,-1,less_likely_zero (more teleworkable)
2.B.3.m,2.B.3.m,Quality Control Analysis,0.0008136094912756796,0.0,f1,0.45623676835707827,1,more_likely_zero (less teleworkable)
1.A.4.a.4,1.A.4.a.4,Night Vision,0.0008048906644205017,0.0,f1,0.5045260736272031,1,more_likely_zero (less teleworkable)
2.A.2.d,2.A.2.d,Monitoring,0.0007879426295537287,0.0,f1,-0.33675845475299504,-1,less_likely_zero (more teleworkable)
4.A.2.b.6,4.A.2.b.6,"Organizing, Planning, and Prioritizing Work",0.0007699387420874507,0.0,f1,-0.5223599412177713,-1,less_likely_zero (more teleworkable)
2.B.1.a,2.B.1.a,Social Perceptiveness,0.0007048935322621526,0.0,f1,-0.40617500802526385,-1,less_likely_zero (more teleworkable)
4.A.2.b.3,4.A.2.b.3,Updating and Using Relevant Knowledge,0.0006928522564059521,0.0,f1,-0.4589116015596436,-1,less_likely_zero (more teleworkable)
1.A.1.e.2,1.A.1.e.2,Flexibility of Closure,0.0006414359159051778,0.0,f1,-0.07133455863444885,-1,less_likely_zero (more teleworkable)
1.A.2.b.4,1.A.2.b.4,Rate Control,0.00047619047619047624,0.0,f1,0.6960775733131889,1,more_likely_zero (less teleworkable)
2.B.3.b,2.B.3.b,Technology Design,0.00045807157066673305,0.0,f1,-0.1790524693835566,-1,less_likely_zero (more teleworkable)
2.B.3.d,2.B.3.d,Installation,0.00031382809904440624,0.0,f1,0.324215025307659,1,more_likely_zero (less teleworkable)
1.A.1.b.1,1.A.1.b.1,Fluency of Ideas,0.00025875236334493,0.0,f1,-0.603019532713544,-1,less_likely_zero (more teleworkable)
1.A.4.a.7,1.A.4.a.7,Glare Sensitivity,0.0002394313505424616,0.0,f1,0.5097467770731425,1,more_likely_zero (less teleworkable)
1.A.1.e.1,1.A.1.e.1,Speed of Closure,0.00019652566971539994,0.0,f1,-0.25058387840938706,-1,less_likely_zero (more teleworkable)
1.A.4.a.1,1.A.4.a.1,Near Vision,0.00016005981139515145,0.0,f1,-0.17196176209964845,-1,less_likely_zero (more teleworkable)
1.A.4.a.5,1.A.4.a.5,Peripheral Vision,0.0,0.0,f1,0.5264906619597911,1,more_likely_zero (less teleworkable)
1.A.4.b.3,1.A.4.b.3,Sound Localization,0.0,0.0,f1,0.5287371700818586,1,more_likely_zero (less teleworkable)
