ONET_SOC_CODE,ELEMENT_ID,ELEMENT_NAME,SCALE_ID,CATEGORY,DATA_VALUE,N,STANDARD_ERROR,LOWER_CI_BOUND,UPPER_CI_BOUND,RECOMMEND_SUPPRESS,DATE,DOMAIN_SOURCE
11-1021.00,3.A.3,On-the-Job Training,OJ,7.0,26.08,28,11.4614,9.4375,54.4415,N,08/2023,Incumbent
11-1021.00,3.A.3,On-the-Job Training,OJ,8.0,9.21,28,6.6333,1.9512,34.0648,N,08/2023,Incumbent
11-1021.00,3.A.3,On-the-Job Training,OJ,9.0,0.17,28,0.1592,0.0255,1.145,N,08/2023,Incumbent
11-1021.00,3.A.4.a,Apprenticeship,IM,,2.33,28,0.3483,1.6139,3.0434,N,08/2023,Incumbent
11-2011.00,2.D.1,Required Level of Education,RL,1.0,6.16,27,5.883,0.803,34.7229,N,08/2018,Incumbent
11-2011.00,2.D.1,Required Level of Education,RL,2.0,9.82,27,5.9417,2.666,30.1917,N,08/2018,Incumbent
11-2011.00,2.D.1,Required Level of Education,RL,3.0,0.0,27,0.0,,,N,08/2018,Incumbent
11-2011.00,2.D.1,Required Level of Education,RL,4.0,7.67,27,5.3186,1.7443,28.0021,N,08/2018,Incumbent
11-2011.00,2.D.1,Required Level of Education,RL,5.0,8.04,27,5.4789,1.8701,28.6249,N,08/2018,Incumbent
11-2011.00,2.D.1,Required Level of Education,RL,6.0,60.02,27,9.9779,38.9731,77.9195,N,08/2018,Incumbent
11-2011.00,2.D.1,Required Level of Education,RL,7.0,2.42,27,2.4071,0.3051,16.7618,N,08/2018,Incumbent
11-2011.00,2.D.1,Required Level of Education,RL,8.0,5.87,27,4.1933,1.2953,22.8803,N,08/2018,Incumbent
11-2011.00,2.D.1,Required Level of Education,RL,9.0,0.0,27,0.0,,,N,08/2018,Incumbent
11-2011.00,2.D.1,Required Level of Education,RL,10.0,0.0,27,0.0,,,N,08/2018,Incumbent
11-2011.00,2.D.1,Required Level of Education,RL,11.0,0.0,27,0.0,,,N,08/2018,Incumbent
11-2011.00,2.D.1,Required Level of Education,RL,12.0,0.0,27,0.0,,,N,08/2018,Incumbent
11-2011.00,2.D.4.a,Job-Related Professional Certification,IM,,1.98,23,0.2188,1.5213,2.4288,N,08/2018,Incumbent
11-2011.00,3.A.1,Related Work Experience,RW,1.0,0.0,27,0.0,,,N,08/2018,Incumbent
11-2011.00,3.A.1,Related Work Experience,RW,2.0,0.0,27,0.0,,,N,08/2018,Incumbent
11-2011.00,3.A.1,Related Work Experience,RW,3.0,0.0,27,0.0,,,N,08/2018,Incumbent
11-2011.00,3.A.1,Related Work Experience,RW,4.0,0.0,27,0.0,,,N,08/2018,Incumbent
11-2011.00,3.A.1,Related Work Experience,RW,5.0,14.2,27,7.6408,4.3592,37.5267,N,08/2018,Incumbent
11-2011.00,3.A.1,Related Work Experience,RW,6.0,13.73,27,6.8311,4.6361,34.243,N,08/2018,Incumbent
11-2011.00,3.A.1,Related Work Experience,RW,7.0,21.74,27,8.1455,9.4071,42.6353,N,08/2018,Incumbent
11-2011.00,3.A.1,Related Work Experience,RW,8.0,26.52,27,8.501,12.8328,46.9437,N,08/2018,Incumbent
11-2011.00,3.A.1,Related Work Experience,RW,9.0,16.49,27,7.7712,5.8299,38.6461,N,08/2018,Incumbent
11-2011.00,3.A.1,Related Work Experience,RW,10.0,2.42,27,2.4071,0.3051,16.7618,N,08/2018,Incumbent
11-2011.00,3.A.1,Related Work Experience,RW,11.0,4.9,27,4.7467,0.6314,29.4806,N,08/2018,Incumbent
11-2011.00,3.A.2,On-Site or In-Plant Training,PT,1.0,22.39,27,7.6973,10.4024,41.7642,N,08/2018,Incumbent
11-2011.00,3.A.2,On-Site or In-Plant Training,PT,2.0,25.12,27,8.6005,11.5865,46.1975,N,08/2018,Incumbent
11-2011.00,3.A.2,On-Site or In-Plant Training,PT,3.0,21.26,27,8.5247,8.6603,43.4747,N,08/2018,Incumbent
11-2011.00,3.A.2,On-Site or In-Plant Training,PT,4.0,10.12,27,6.9195,2.301,34.9747,N,08/2018,Incumbent
11-2011.00,3.A.2,On-Site or In-Plant Training,PT,5.0,7.34,27,5.1171,1.6583,27.1113,N,08/2018,Incumbent
11-2011.00,3.A.2,On-Site or In-Plant Training,PT,6.0,6.45,27,4.5591,1.4358,24.5809,N,08/2018,Incumbent
11-2011.00,3.A.2,On-Site or In-Plant Training,PT,7.0,2.42,27,2.4071,0.3051,16.7618,N,08/2018,Incumbent
11-2011.00,3.A.2,On-Site or In-Plant Training,PT,8.0,0.0,27,0.0,,,N,08/2018,Incumbent
11-2011.00,3.A.2,On-Site or In-Plant Training,PT,9.0,4.9,27,4.7467,0.6314,29.4806,N,08/2018,Incumbent
11-2011.00,3.A.3,On-the-Job Training,OJ,1.0,10.58,27,5.9086,3.1722,29.9305,N,08/2018,Incumbent
11-2011.00,3.A.3,On-the-Job Training,OJ,2.0,38.54,27,9.4179,21.6906,58.6792,N,08/2018,Incumbent
11-2011.00,3.A.3,On-the-Job Training,OJ,3.0,21.64,27,8.3068,9.1617,43.0476,N,08/2018,Incumbent
11-2011.00,3.A.3,On-the-Job Training,OJ,4.0,7.65,27,5.308,1.7375,27.9588,N,08/2018,Incumbent
11-2011.00,3.A.3,On-the-Job Training,OJ,5.0,11.03,27,6.1635,3.2966,31.0742,N,08/2018,Incumbent
11-2011.00,3.A.3,On-the-Job Training,OJ,6.0,5.66,27,3.9648,1.2873,21.6324,N,08/2018,Incumbent
11-2011.00,3.A.3,On-the-Job Training,OJ,7.0,0.0,27,0.0,,,N,08/2018,Incumbent
11-2011.00,3.A.3,On-the-Job Training,OJ,8.0,4.9,27,4.7467,0.6314,29.4806,N,08/2018,Incumbent
11-2011.00,3.A.3,On-the-Job Training,OJ,9.0,0.0,27,0.0,,,N,08/2018,Incumbent
11-2011.00,3.A.4.a,Apprenticeship,IM,,2.11,23,0.2544,1.5844,2.6395,N,08/2018,Incumbent
11-2021.00,2.D.1,Required Level of Education,RL,1.0,0.0,37,0.0,,,N,07/2015,Incumbent
11-2021.00,2.D.1,Required Level of Education,RL,2.0,3.53,37,3.562,0.4361,23.3951,N,07/2015,Incumbent
11-2021.00,2.D.1,Required Level of Education,RL,3.0,0.0,37,0.0,,,N,07/2015,Incumbent
11-2021.00,2.D.1,Required Level of Education,RL,4.0,2.8,37,2.0719,0.6128,11.8824,N,07/2015,Incumbent
11-2021.00,2.D.1,Required Level of Education,RL,5.0,3.03,37,2.062,0.7458,11.4833,N,07/2015,Incumbent
11-2021.00,2.D.1,Required Level of Education,RL,6.0,55.76,37,16.9574,23.8203,83.5595,N,07/2015,Incumbent
11-2021.00,2.D.1,Required Level of Education,RL,7.0,0.0,37,0.0,,,N,07/2015,Incumbent
11-2021.00,2.D.1,Required Level of Education,RL,8.0,24.36,37,9.6023,10.0622,48.0946,N,07/2015,Incumbent
11-2021.00,2.D.1,Required Level of Education,RL,9.0,0.0,37,0.0,,,N,07/2015,Incumbent
11-2021.00,2.D.1,Required Level of Education,RL,10.0,10.52,37,8.9995,1.6635,44.9712,N,07/2015,Incumbent
11-2021.00,2.D.1,Required Level of Education,RL,11.0,0.0,37,0.0,,,N,07/2015,Incumbent
11-2021.00,2.D.1,Required Level of Education,RL,12.0,0.0,37,0.0,,,N,07/2015,Incumbent
11-2021.00,3.A.1,Related Work Experience,RW,1.0,0.0,37,0.0,,,N,07/2015,Incumbent
11-2021.00,3.A.1,Related Work Experience,RW,2.0,1.43,37,1.4643,0.1742,10.6928,N,07/2015,Incumbent
11-2021.00,3.A.1,Related Work Experience,RW,3.0,0.0,37,0.0,,,N,07/2015,Incumbent
11-2021.00,3.A.1,Related Work Experience,RW,4.0,0.0,37,0.0,,,N,07/2015,Incumbent
11-2021.00,3.A.1,Related Work Experience,RW,5.0,9.04,37,6.8513,1.8003,35.0039,N,07/2015,Incumbent
11-2021.00,3.A.1,Related Work Experience,RW,6.0,7.23,37,4.3381,2.0538,22.4421,N,07/2015,Incumbent
11-2021.00,3.A.1,Related Work Experience,RW,7.0,12.08,37,6.2721,3.9854,31.2783,N,07/2015,Incumbent
11-2021.00,3.A.1,Related Work Experience,RW,8.0,18.8,37,8.0633,7.3473,40.327,N,07/2015,Incumbent
11-2021.00,3.A.1,Related Work Experience,RW,9.0,14.98,37,8.9214,4.0801,42.1768,N,07/2015,Incumbent
11-2021.00,3.A.1,Related Work Experience,RW,10.0,33.99,37,10.8577,16.1724,57.873,N,07/2015,Incumbent
11-2021.00,3.A.1,Related Work Experience,RW,11.0,2.47,37,1.6953,0.6019,9.5512,N,07/2015,Incumbent
11-2021.00,3.A.2,On-Site or In-Plant Training,PT,1.0,33.95,37,9.4145,17.9882,54.6333,N,07/2015,Incumbent
11-2021.00,3.A.2,On-Site or In-Plant Training,PT,2.0,14.98,37,6.5228,5.8714,33.2384,N,07/2015,Incumbent
11-2021.00,3.A.2,On-Site or In-Plant Training,PT,3.0,32.96,37,10.1881,16.1781,55.6048,N,07/2015,Incumbent
11-2021.00,3.A.2,On-Site or In-Plant Training,PT,4.0,11.25,37,6.8045,3.0868,33.5521,N,07/2015,Incumbent
11-2021.00,3.A.2,On-Site or In-Plant Training,PT,5.0,5.71,37,3.2713,1.7339,17.1954,N,07/2015,Incumbent
11-2021.00,3.A.2,On-Site or In-Plant Training,PT,6.0,1.15,37,1.1818,0.1399,8.7657,N,07/2015,Incumbent
11-2021.00,3.A.2,On-Site or In-Plant Training,PT,7.0,0.0,37,0.0,,,N,07/2015,Incumbent
11-2021.00,3.A.2,On-Site or In-Plant Training,PT,8.0,0.0,37,0.0,,,N,07/2015,Incumbent
11-2021.00,3.A.2,On-Site or In-Plant Training,PT,9.0,0.0,37,0.0,,,N,07/2015,Incumbent
11-2021.00,3.A.3,On-the-Job Training,OJ,1.0,2.4,36,2.4391,0.2947,16.94,N,07/2015,Incumbent
11-2021.00,3.A.3,On-the-Job Training,OJ,2.0,8.91,36,4.5292,3.0559,23.2947,N,07/2015,Incumbent
11-2021.00,3.A.3,On-the-Job Training,OJ,3.0,52.82,36,11.2501,30.9263,73.6795,N,07/2015,Incumbent
11-2021.00,3.A.3,On-the-Job Training,OJ,4.0,15.63,36,7.8113,5.2728,38.143,N,07/2015,Incumbent
11-2021.00,3.A.3,On-the-Job Training,OJ,5.0,9.71,36,4.3396,3.7861,22.705,N,07/2015,Incumbent
11-2021.00,3.A.3,On-the-Job Training,OJ,6.0,0.0,36,0.0,,,N,07/2015,Incumbent
11-2021.00,3.A.3,On-the-Job Training,OJ,7.0,10.53,36,9.009,1.6626,45.0518,N,07/2015,Incumbent
11-2021.00,3.A.3,On-the-Job Training,OJ,8.0,0.0,36,0.0,,,N,07/2015,Incumbent
11-2021.00,3.A.3,On-the-Job Training,OJ,9.0,0.0,36,0.0,,,N,07/2015,Incumbent
11-2022.00,2.D.1,Required Level of Education,RL,1.0,0.0,23,,,,,07/2016,Occupational Expert
11-2022.00,2.D.1,Required Level of Education,RL,2.0,0.0,23,,,,,07/2016,Occupational Expert
11-2022.00,2.D.1,Required Level of Education,RL,3.0,0.0,23,,,,,07/2016,Occupational Expert
11-2022.00,2.D.1,Required Level of Education,RL,4.0,4.35,23,,,,,07/2016,Occupational Expert
11-2022.00,2.D.1,Required Level of Education,RL,5.0,13.04,23,,,,,07/2016,Occupational Expert
11-2022.00,2.D.1,Required Level of Education,RL,6.0,65.22,23,,,,,07/2016,Occupational Expert
11-2022.00,2.D.1,Required Level of Education,RL,7.0,8.7,23,,,,,07/2016,Occupational Expert
11-2022.00,2.D.1,Required Level of Education,RL,8.0,8.7,23,,,,,07/2016,Occupational Expert
11-2022.00,2.D.1,Required Level of Education,RL,9.0,0.0,23,,,,,07/2016,Occupational Expert
11-2022.00,2.D.1,Required Level of Education,RL,10.0,0.0,23,,,,,07/2016,Occupational Expert
11-2022.00,2.D.1,Required Level of Education,RL,11.0,0.0,23,,,,,07/2016,Occupational Expert
11-2022.00,2.D.1,Required Level of Education,RL,12.0,0.0,23,,,,,07/2016,Occupational Expert
11-2022.00,3.A.1,Related Work Experience,RW,1.0,0.0,23,,,,,07/2016,Occupational Expert
11-2022.00,3.A.1,Related Work Experience,RW,2.0,0.0,23,,,,,07/2016,Occupational Expert
11-2022.00,3.A.1,Related Work Experience,RW,3.0,0.0,23,,,,,07/2016,Occupational Expert
11-2022.00,3.A.1,Related Work Experience,RW,4.0,4.35,23,,,,,07/2016,Occupational Expert
11-2022.00,3.A.1,Related Work Experience,RW,5.0,0.0,23,,,,,07/2016,Occupational Expert
11-2022.00,3.A.1,Related Work Experience,RW,6.0,13.04,23,,,,,07/2016,Occupational Expert
11-2022.00,3.A.1,Related Work Experience,RW,7.0,13.04,23,,,,,07/2016,Occupational Expert
11-2022.00,3.A.1,Related Work Experience,RW,8.0,26.09,23,,,,,07/2016,Occupational Expert
11-2022.00,3.A.1,Related Work Experience,RW,9.0,34.78,23,,,,,07/2016,Occupational Expert
