DWA_ID,DWA_TITLE,CLASSIFICATION,EXPLANATION
4.A.1.a.1.I15.D02,Investigate personal characteristics or activities of individuals.,REMOTE,This task can be performed remotely using digital tools and online systems to gather and analyze information about individuals.
4.A.1.a.1.I16.D01,Research genetic characteristics or expression.,REMOTE,This task can be performed from any location using digital tools and online systems to analyze genetic data and conduct research.
4.A.1.a.1.I16.D02,Research diseases or parasites.,REMOTE,"Researching diseases or parasites can typically be conducted remotely using digital tools, online databases, and communication with other researchers, without the need for physical presence."
4.A.1.a.1.I16.D03,Conduct research of processes in natural or industrial ecosystems.,NON-REMOTE,"Conducting research of processes in natural or industrial ecosystems typically requires physical presence to observe, collect data, and interact with the environment or equipment directly."
4.A.1.a.1.I16.D04,Research microbiological or chemical processes or structures.,REMOTE,"This task can be performed from any location using digital tools and online systems to access research databases, scientific literature, and virtual simulations."
4.A.1.a.1.I16.D05,Classify organisms based on their characteristics or behavior.,REMOTE,This task can be performed from any location using digital tools and online systems to analyze data and classify organisms.
4.A.1.a.1.I16.D06,Examine characteristics or behavior of living organisms.,NON-REMOTE,"This task typically requires physical presence to observe and interact with living organisms directly, which cannot be easily replicated remotely."
4.A.1.a.1.I17.D01,Obtain documentation to authorize activities.,REMOTE,This task can be performed from any location using digital tools or online systems to access and manage documentation.
4.A.1.a.1.I17.D02,Obtain copyrights or other legal permissions.,REMOTE,This task can be performed from any location using digital tools and online systems to handle legal documentation and communications.
4.A.1.a.1.I17.D03,Obtain written authorization to perform activities.,REMOTE,This task can be performed from any location using digital tools or online systems to communicate and receive written authorization.
4.A.1.a.1.I18.D01,Conduct anthropological or archaeological research.,NON-REMOTE,"This task typically requires physical presence at research sites for excavation, artifact collection, and direct interaction with physical evidence, which cannot be easily replicated remotely."
4.A.1.a.1.I18.D02,Conduct historical research.,REMOTE,"Conducting historical research can be performed from any location using digital archives, online databases, and remote communication tools."
4.A.1.a.1.I18.D03,Conduct research on social issues.,REMOTE,"Conducting research on social issues can be performed from any location using digital tools, online databases, and remote communication methods."
4.A.1.a.1.I19.D01,Conduct research to increase knowledge about medical issues.,REMOTE,This task can be performed from any location using digital tools and online systems to access research materials and collaborate with others.
4.A.1.a.1.I19.D02,Collect information about community health needs.,REMOTE,"This task can be performed from any location using digital tools such as surveys, online research, and remote communications with community members or health professionals."
4.A.1.a.1.I20.D01,Research engineering aspects of biological or chemical processes.,REMOTE,"This task involves analyzing and studying processes, which can typically be done using digital tools and online resources without the need for physical presence."
4.A.1.a.1.I20.D02,Research engineering applications of emerging technologies.,REMOTE,"This task involves researching and analyzing information, which can be done using digital tools and online resources without the need for physical presence."
4.A.1.a.1.I20.D03,Research design or application of green technologies.,REMOTE,"This task involves researching and designing green technologies, which can be done using digital tools and online resources without the need for physical presence."
4.A.1.a.1.I20.D04,Conduct research to gain information about products or processes.,REMOTE,This task can be performed from any location using digital tools and online resources to gather information.
4.A.1.a.1.I20.D05,Research advanced engineering designs or applications.,REMOTE,This task can be performed from any location using digital tools and online resources to access and analyze engineering designs or applications.
4.A.1.a.1.I20.D06,"Research energy production, use, or conservation.",REMOTE,"This task can be performed from any location using digital tools, online databases, and remote communication to gather and analyze information on energy production, use, or conservation."
4.A.1.a.1.I20.D07,Research human performance or health factors related to engineering or design activities.,REMOTE,"This task involves analyzing data, reviewing literature, and possibly conducting virtual interviews or surveys, all of which can be done using digital tools and online systems without the need for physical presence."
4.A.1.a.1.I20.D08,Research new technologies.,REMOTE,This task can be performed from any location using digital tools and online resources to gather information and analyze new technologies.
4.A.1.a.1.I20.D09,Research product safety.,REMOTE,"Researching product safety can typically be conducted remotely using digital tools, online databases, and communication platforms to gather and analyze information."
4.A.1.a.1.I20.D10,Research methods to improve food products.,REMOTE,This task can be performed from any location using digital tools and online resources to gather information and analyze data.
4.A.1.a.1.I21.D01,Investigate accidents to determine causes.,NON-REMOTE,"This task typically requires physical presence at the accident site to gather evidence, conduct interviews, and perform on-site analysis, which cannot be easily replicated remotely."
4.A.1.a.1.I21.D02,Examine debris to obtain information about causes of fires.,NON-REMOTE,"This task requires physical presence to examine debris on-site, which cannot be replicated remotely."
4.A.1.a.1.I21.D03,"Investigate transportation incidents, violations, or complaints.",NON-REMOTE,"This task typically requires physical presence at the site of the incident to gather evidence, conduct interviews, and perform inspections that cannot be easily replicated remotely."
4.A.1.a.1.I21.D04,Investigate industrial or transportation accidents.,NON-REMOTE,"This task requires physical presence at the accident site to gather evidence, inspect the scene, and interact with witnesses or other personnel involved."
4.A.1.a.1.I22.D01,"Investigate system, equipment, or product failures.",NON-REMOTE,"This task often requires physical presence to inspect and analyze the failed system, equipment, or product directly, which may involve using specialized on-site tools or equipment."
4.A.1.a.1.I22.D02,Investigate work related complaints to determine corrective actions.,NON-REMOTE,"This task likely requires physical presence to conduct in-person interviews, site inspections, or direct observations to accurately assess the situation and determine corrective actions."
4.A.1.a.1.I22.D03,Investigate safety of work environment.,NON-REMOTE,This task requires physical presence to assess and inspect the work environment directly for safety hazards.
4.A.1.a.1.I23.D01,"Interview employees, customers, or others to collect information.",REMOTE,"This task can be performed from any location using digital communication tools such as video calls, phone interviews, or online surveys."
4.A.1.a.1.I23.D02,Interview others for news or entertainment purposes.,NON-REMOTE,"This task typically requires physical presence to conduct interviews effectively, especially for capturing high-quality audio and video, and for engaging with interviewees in a dynamic and interactive manner."
4.A.1.a.1.I23.D03,Interview clients to gather financial information.,REMOTE,This task can be performed from any location using digital communication tools such as video calls or online forms to gather information.
4.A.1.a.1.I23.D04,Interview people to obtain information about actions or status of individuals.,REMOTE,"This task can be performed from any location using digital communication tools such as video calls, phone interviews, or online surveys, without requiring physical presence."
4.A.1.a.1.I23.D05,Interview people to gather information about criminal activities.,NON-REMOTE,"This task requires physical presence to conduct interviews, assess body language, and interact directly with individuals, which cannot be easily replicated remotely."
4.A.1.a.1.I23.D06,Interview patients to gather medical information.,NON-REMOTE,This task requires physical presence to interact directly with patients and gather accurate medical information.
4.A.1.a.1.I23.D07,Interview claimants to get information related to legal proceedings.,REMOTE,"This task can be performed from any location using digital communication tools such as video conferencing or phone calls, without requiring physical presence."
4.A.1.a.1.I23.D08,"Interview clients to gather information about their backgrounds, needs, or progress.",REMOTE,"This task can be performed from any location using digital communication tools such as video calls or online surveys, without requiring physical presence."
4.A.1.a.1.I23.D09,"Interview witnesses, suspects, or claimants.",NON-REMOTE,This task typically requires physical presence to effectively assess non-verbal cues and ensure the integrity of the interview process.
4.A.1.a.2.I01.D01,Monitor broadcasting operations to ensure proper functioning.,NON-REMOTE,Monitoring broadcasting operations typically requires on-site presence to handle equipment and address any technical issues that arise in real-time.
4.A.1.a.2.I01.D02,Monitor medical equipment to ensure proper functioning.,NON-REMOTE,"This task requires physical presence to directly observe and interact with medical equipment, which cannot be easily replicated remotely."
4.A.1.a.2.I01.D03,Monitor engine operation or functioning.,NON-REMOTE,"Monitoring engine operation typically requires physical presence to observe and assess the engine's performance directly, often involving specialized equipment and manual interaction."
4.A.1.a.2.I01.D04,Monitor lubrication of equipment or workpieces.,NON-REMOTE,"This task requires physical presence to observe and ensure proper lubrication of equipment or workpieces, which cannot be done remotely."
4.A.1.a.2.I01.D05,Monitor equipment operation to ensure proper functioning.,NON-REMOTE,"This task requires physical presence to observe and assess the equipment directly, which cannot be easily replicated remotely."
4.A.1.a.2.I01.D06,Observe equipment in operation to detect potential problems.,NON-REMOTE,"This task requires physical presence to directly observe the equipment in operation, which cannot be done remotely."
4.A.1.a.2.I01.D07,Watch operating equipment to detect malfunctions.,NON-REMOTE,"This task requires physical presence to observe and monitor equipment directly, which cannot be done remotely."
4.A.1.a.2.I01.D08,"Monitor green energy equipment, systems, or facilities.",NON-REMOTE,"Monitoring green energy equipment, systems, or facilities typically requires physical presence to inspect, maintain, and ensure proper functioning, which cannot be fully replicated remotely."
4.A.1.a.2.I01.D09,Assess equipment functioning.,NON-REMOTE,This task typically requires physical presence to inspect and evaluate the equipment directly.
4.A.1.a.2.I01.D10,Monitor equipment operation to ensure that products are not flawed.,NON-REMOTE,"This task requires physical presence to directly observe and assess the equipment and products, which cannot be easily replicated remotely."
4.A.1.a.2.I01.D11,Monitor instruments to ensure proper production conditions.,NON-REMOTE,Monitoring instruments typically requires physical presence to observe and interact with equipment directly on-site.
4.A.1.a.2.I01.D12,Monitor video displays of medical equipment to ensure proper functioning.,NON-REMOTE,Monitoring video displays of medical equipment typically requires physical presence to ensure immediate response to any issues and may involve interaction with on-site equipment.
4.A.1.a.2.I01.D13,Monitor equipment gauges or displays to ensure proper operation.,NON-REMOTE,"This task requires physical presence to directly observe and monitor equipment gauges or displays, which cannot be easily replicated remotely."
4.A.1.a.2.I01.D14,Monitor equipment fluid levels.,NON-REMOTE,Monitoring equipment fluid levels typically requires physical presence to check and ensure proper fluid levels directly on-site.
4.A.1.a.2.I02.D01,Monitor industrial energy consumption or management.,REMOTE,Monitoring industrial energy consumption or management can be performed using digital tools and online systems that allow for remote data access and analysis.
4.A.1.a.2.I02.D02,Monitor facilities or operational systems.,NON-REMOTE,"Monitoring facilities or operational systems typically requires physical presence to observe and assess equipment or systems directly, which may involve using on-site tools or responding to immediate issues."
4.A.1.a.2.I02.D03,Monitor operational quality or safety.,REMOTE,Monitoring operational quality or safety can often be done remotely using digital tools and online systems that provide real-time data and analytics.
4.A.1.a.2.I02.D04,Monitor extraction operations.,NON-REMOTE,Monitoring extraction operations typically requires physical presence to oversee equipment and processes directly on-site.
4.A.1.a.2.I02.D05,Monitor organizational procedures to ensure proper functioning.,REMOTE,This task can be performed from any location using digital tools and online systems to review and assess organizational procedures.
4.A.1.a.2.I02.D06,Monitor construction operations.,NON-REMOTE,"Monitoring construction operations typically requires physical presence to observe and assess the site conditions, equipment, and personnel directly."
4.A.1.a.2.I02.D07,Monitor vehicle movement or location.,REMOTE,This task can be performed using GPS tracking systems and digital tools that allow for monitoring vehicle movement or location from any location.
4.A.1.a.2.I02.D08,Monitor recreational facility operations.,NON-REMOTE,"Monitoring recreational facility operations typically requires physical presence to oversee activities, ensure safety, and manage on-site equipment."
4.A.1.a.2.I02.D09,Inspect operational processes.,NON-REMOTE,Inspecting operational processes typically requires physical presence to observe and evaluate the processes directly.
4.A.1.a.2.I02.D10,Track goods or materials.,NON-REMOTE,"Tracking goods or materials often requires physical presence to monitor inventory, inspect items, or use on-site equipment for tracking."
4.A.1.a.2.I02.D11,Monitor food services operations to ensure procedures are followed.,NON-REMOTE,This task requires physical presence to observe and ensure that food service procedures are being followed on-site.
4.A.1.a.2.I02.D12,Monitor loading processes to ensure they are performed properly.,NON-REMOTE,"This task likely requires physical presence to observe and ensure proper loading processes, which may involve direct manual interaction or on-site equipment."
4.A.1.a.2.I02.D13,Monitor biofuel production operations.,NON-REMOTE,"Monitoring biofuel production operations typically requires physical presence to oversee equipment, ensure safety, and manage on-site processes that cannot be easily replicated remotely."
4.A.1.a.2.I02.D14,Inspect cargo to ensure it is properly loaded or secured.,NON-REMOTE,"This task requires physical presence to visually and manually inspect the cargo, ensuring it is properly loaded or secured, which cannot be done remotely."
4.A.1.a.2.I02.D15,Monitor the productivity or efficiency of industrial operations.,NON-REMOTE,"Monitoring industrial operations typically requires on-site presence to observe equipment, processes, and personnel directly, which cannot be fully replicated remotely."
4.A.1.a.2.I02.D16,Monitor operational procedures in technical environments to ensure conformance to standards.,REMOTE,This task can be performed from any location using digital tools and remote monitoring systems to ensure that operational procedures meet standards.
4.A.1.a.2.I02.D17,Inspect operations of green energy facilities.,NON-REMOTE,"This task requires physical presence to assess the operations and conditions of green energy facilities, which cannot be effectively done remotely."
4.A.1.a.2.I02.D18,Monitor conditions at energy-producing landfills.,NON-REMOTE,"Monitoring conditions at energy-producing landfills typically requires physical presence to assess equipment, environmental conditions, and safety compliance on-site."
4.A.1.a.2.I02.D19,Monitor the handling of hazardous materials or medical wastes.,NON-REMOTE,"This task requires physical presence to ensure proper handling and compliance with safety protocols, which cannot be effectively monitored remotely."
4.A.1.a.2.I02.D20,Monitor organizational processes.,REMOTE,"Monitoring organizational processes can typically be done using digital tools and online systems, allowing it to be performed from any location."
4.A.1.a.2.I03.D01,Monitor financial information.,REMOTE,Monitoring financial information can be done from any location using digital tools and online systems without requiring physical presence.
4.A.1.a.2.I03.D02,Monitor financial activities.,REMOTE,"Monitoring financial activities can typically be done from any location using digital tools and online systems, without the need for physical presence."
4.A.1.a.2.I03.D03,Monitor sales activities.,REMOTE,Monitoring sales activities can typically be done from any location using digital tools and online systems that track and report sales data.
4.A.1.a.2.I03.D04,Monitor flow of cash or other resources.,REMOTE,This task can be performed from any location using digital tools and online systems to track and analyze financial data.
4.A.1.a.2.I03.D05,Monitor financial indicators.,REMOTE,Monitoring financial indicators can be done from any location using digital tools and online systems.
4.A.1.a.2.I03.D06,Monitor business indicators.,REMOTE,"Monitoring business indicators can be done from any location using digital tools and online systems, without requiring physical presence."
4.A.1.a.2.I04.D01,Monitor traffic signals.,NON-REMOTE,"Monitoring traffic signals typically requires on-site presence to observe and ensure proper functioning, which cannot be easily replicated remotely."
4.A.1.a.2.I04.D02,Time vehicle speed or traffic-control equipment operation.,NON-REMOTE,"This task requires physical presence to directly interact with and observe vehicle speed or traffic-control equipment, which cannot be easily replicated remotely."
4.A.1.a.2.I05.D01,Monitor patient progress or responses to treatments.,NON-REMOTE,"This task requires physical presence to observe and assess patients directly, which cannot be easily replicated remotely."
4.A.1.a.2.I05.D02,Monitor clients to evaluate treatment progress.,NON-REMOTE,This task typically requires physical presence to observe clients directly and assess their progress in a treatment setting.
4.A.1.a.2.I05.D03,Monitor patients following surgeries or other treatments.,NON-REMOTE,"This task requires physical presence to observe and assess patients directly, which cannot be done remotely."
4.A.1.a.2.I05.D04,Monitor animal behavior or condition.,NON-REMOTE,Monitoring animal behavior or condition typically requires physical presence to observe the animals directly and assess their condition accurately.
4.A.1.a.2.I05.D05,Monitor health or behavior of people or animals.,NON-REMOTE,"This task typically requires physical presence to observe and assess health or behavior directly, which cannot be easily replicated remotely."
4.A.1.a.2.I05.D06,Monitor patients to detect health problems.,NON-REMOTE,"This task requires physical presence to observe patients directly and assess their health conditions, which cannot be effectively done remotely."
4.A.1.a.2.I05.D07,"Monitor patient conditions during treatments, procedures, or activities.",NON-REMOTE,"This task requires physical presence to directly observe and assess patient conditions, which cannot be effectively done remotely."
4.A.1.a.2.I05.D08,Monitor nutrition related activities of individuals or groups.,NON-REMOTE,"Monitoring nutrition-related activities often requires physical presence to observe, assess, and interact directly with individuals or groups."
4.A.1.a.2.I06.D01,Monitor performance of organizational members or partners.,REMOTE,This task can be performed from any location using digital tools and online systems to track and assess performance metrics.
4.A.1.a.2.I06.D02,Monitor patron activities to identify problems or potential problems.,NON-REMOTE,"This task requires physical presence to observe and assess patron activities directly, which cannot be effectively done remotely."
4.A.1.a.2.I06.D03,Monitor student performance.,REMOTE,Monitoring student performance can be done remotely using digital tools and online systems that track and report student progress.
4.A.1.a.2.I06.D04,Supervise school or student activities.,NON-REMOTE,Supervising school or student activities typically requires physical presence to effectively manage and interact with students in person.
4.A.1.a.2.I06.D05,Enforce rules or policies governing student behavior.,NON-REMOTE,This task requires physical presence to monitor and address student behavior directly.
4.A.1.a.2.I06.D06,Monitor activities of individuals to ensure safety or compliance with rules.,NON-REMOTE,"This task typically requires physical presence to observe individuals directly and ensure safety or compliance, which cannot be easily replicated remotely."
4.A.1.a.2.I06.D07,"Monitor student behavior, social development, or health.",NON-REMOTE,"This task requires physical presence to observe and interact with students directly, which cannot be effectively done remotely."
4.A.1.a.2.I07.D01,Monitor environment to ensure safety.,NON-REMOTE,"This task typically requires physical presence to directly observe and assess the environment for safety hazards, which cannot be fully replicated remotely."
4.A.1.a.2.I07.D02,Monitor access or flow of people to prevent problems.,NON-REMOTE,This task requires physical presence to effectively observe and manage the movement of people in a specific location.
4.A.1.a.2.I07.D03,Monitor building premises to ensure occupant or visitor safety.,NON-REMOTE,This task requires physical presence to effectively observe and respond to safety concerns in real-time.
4.A.1.a.2.I07.D04,Locate suspicious objects or vehicles.,NON-REMOTE,"This task requires physical presence to visually inspect and identify suspicious objects or vehicles, which cannot be done remotely."
4.A.1.a.2.I07.D05,Patrol properties to maintain safety.,NON-REMOTE,This task requires physical presence to effectively monitor and ensure the safety of properties.
4.A.1.a.2.I07.D06,Monitor work areas to provide security.,NON-REMOTE,This task requires physical presence to effectively observe and ensure security in work areas.
4.A.1.a.2.I07.D07,Maintain surveillance of individuals or establishments.,NON-REMOTE,"This task requires physical presence to effectively monitor individuals or establishments, as it involves direct observation and interaction that cannot be easily replicated remotely."
4.A.1.a.2.I07.D08,Monitor alarm systems.,REMOTE,Monitoring alarm systems can typically be done from any location using digital tools and remote communication systems.
4.A.1.a.2.I07.D09,Monitor work areas or procedures to ensure compliance with safety procedures.,NON-REMOTE,This task requires physical presence to observe work areas and procedures directly to ensure compliance with safety standards.
4.A.1.a.2.I07.D10,Locate fires or fire danger areas.,NON-REMOTE,"This task requires physical presence to accurately identify and assess fire locations or danger areas, which cannot be effectively done remotely."
4.A.1.a.2.I07.D11,Monitor surroundings to detect potential hazards.,NON-REMOTE,"This task requires physical presence to observe and assess the environment directly for potential hazards, which cannot be effectively done remotely."
